date,site,s2_secchi,s2_rrs,s2_kdmin,types2,l8_secchi,l8_rrs,l8_kdmin
9/27/21,147,1.861857316,0.013225334,0.495218244,S2B,1.379299439,0.016485112,0.661882939
9/27/21,148,1.771740979,0.014238001,0.513289665,S2B,1.289883223,0.017485334,0.696437342
9/27/21,149,3.515415305,0.013268223,0.260695256,S2B,2.495093433,0.014832223,0.36365726
9/27/21,150,2.426492124,0.01316089,0.37615143,S2B,1.783184468,0.01598689,0.506195648
8/10/21,1,NaN,NaN,NaN,S2A,2.197395148,0.013593556,0.414530429
8/10/21,2,NaN,NaN,NaN,S2A,3.660746488,0.010131556,0.252197778
8/10/21,3,NaN,NaN,NaN,S2A,2.38233206,0.012780668,0.38313967
8/10/21,4,NaN,NaN,NaN,S2A,2.293640971,0.011115334,0.400293979
8/10/21,5,NaN,NaN,NaN,S2A,2.06571622,0.013824668,0.440358086
8/10/21,6,3.221486401,0.010428668,0.285898561,S2A,2.472882392,0.010855112,0.37172601
8/10/21,7,2.274107017,0.012801112,0.402197862,S2A,1.599129428,0.015395112,0.565868479
8/10/21,8,4.165197326,0.010905779,0.224227076,S2A,2.518200996,0.012033556,0.363815492
8/10/21,9,3.087128168,0.01245089,0.299406747,S2A,2.202572363,0.013442223,0.414806536
8/10/21,10,NaN,NaN,NaN,S2A,1.231279401,0.012128223,0.74343809
8/10/21,11,3.546595393,0.011141112,0.25952264,S2A,2.244077921,0.01288289,0.406723659
8/10/21,12,NaN,NaN,NaN,S2A,2.418364452,0.013313112,0.376801132
8/10/21,13,3.211223466,0.012826223,0.285152966,S2A,2.074693571,0.014593334,0.437605589
8/10/21,14,3.087791086,0.012565334,0.296630157,S2A,2.324339244,0.013552445,0.391750639
8/10/21,15,3.321459087,0.009724668,0.278591757,S2A,2.369151228,0.011462445,0.387340358
8/10/21,16,2.324492395,0.01109289,0.39597479,S2A,1.692815792,0.012742223,0.539345713
8/10/21,17,NaN,NaN,NaN,S2A,1.347619606,0.013335334,0.677536814
8/10/21,18,1.511500156,0.012483556,0.603547154,S2A,1.28623743,0.01491689,0.704686467
8/10/21,19,2.897758333,0.011866223,0.316169301,S2A,2.170163663,0.013041334,0.420208097
8/10/21,20,2.089370539,0.013047556,0.438449526,S2A,1.707406099,0.015026223,0.53276793
8/10/21,21,2.998463116,0.011653556,0.306833197,S2A,2.018513091,0.01359689,0.450859789
8/10/21,22,3.034109334,0.00955489,0.304853822,S2A,2.188242065,0.011385556,0.419433814
8/10/21,23,2.329257007,0.013644001,0.391621283,S2A,1.888154536,0.014423779,0.48072328
8/10/21,24,5.006167904,0.012096001,0.185227549,S2A,3.645634558,0.012400223,0.251156002
8/10/21,25,2.757008175,0.012013779,0.334599491,S2A,2.025643014,0.013356668,0.452064747
8/10/21,26,5.683335531,0.01023489,0.174144745,S2A,5.328162274,0.01016689,0.179942642
8/10/21,27,2.070354199,0.011410668,0.442525607,S2A,1.647795521,0.013656001,0.552228004
8/10/21,28,1.897590866,0.011455779,0.483738497,S2A,1.607863092,0.013566445,0.566347544
8/10/21,29,2.80545765,0.012743779,0.326061652,S2A,2.112635406,0.013758223,0.431235558
8/10/21,30,2.859765358,0.012691112,0.32241865,S2A,2.043775472,0.01348089,0.449228963
8/10/21,31,1.999337462,0.012270445,0.458121929,S2A,1.631096862,0.014054001,0.557391048
8/10/21,32,1.663534477,0.01383489,0.548447358,S2A,1.31814799,0.017090001,0.681714961
8/10/21,33,5.360079367,0.01059489,0.176789192,S2A,4.972871181,0.010582445,0.187650617
8/10/21,34,5.57945105,0.010746223,0.166115995,S2A,5.104805148,0.010090223,0.183552297
8/10/21,35,4.075876101,0.012163334,0.226123217,S2A,3.474018274,0.012008668,0.264104917
8/10/21,36,NaN,0.011339779,NaN,S2A,1.217140454,0.012609334,0.748008255
8/10/21,37,2.280049559,0.010980445,0.402146711,S2A,1.897333693,0.013130223,0.481409061
8/10/21,38,2.054192758,0.011716001,0.446095884,S2A,1.612763535,0.013920001,0.563680083
8/10/21,39,2.158940552,0.012389556,0.423969996,S2A,1.721884322,0.014149556,0.528335871
8/10/21,40,1.902225925,0.012228445,0.481127242,S2A,1.541363764,0.014094668,0.589442806
8/10/21,41,5.231342415,0.011881556,0.177274254,S2A,4.188635449,0.01156889,0.222580401
8/10/21,42,5.091172613,0.009323779,0.191806879,S2A,4.837276002,0.009092223,0.193182319
8/10/21,43,6.56161294,0.01111689,0.153786629,S2A,4.662745993,0.011690668,0.198491118
8/10/21,44,2.449106311,0.011883112,0.375263342,S2A,3.068754064,0.012957334,0.297732971
8/10/21,45,2.329666329,0.011950001,0.393335413,S2A,1.836661033,0.013558223,0.495738363
8/10/21,46,2.072765912,0.011745556,0.443300698,S2A,1.996172202,0.012506668,0.457960282
8/10/21,47,NaN,NaN,NaN,S2A,1.921334922,0.01249889,0.47558377
8/10/21,48,NaN,NaN,NaN,S2A,2.163574077,0.008672001,0.424107782
8/10/21,49,NaN,NaN,NaN,S2A,1.378094115,0.015138223,0.656855114
8/10/21,50,NaN,NaN,NaN,S2A,4.026953089,0.010258445,0.2292017
8/10/21,51,NaN,NaN,NaN,S2A,1.443278587,0.012953334,0.633976952
8/10/21,52,NaN,NaN,NaN,S2A,3.153932846,0.010768223,0.291751092
8/10/21,53,NaN,NaN,NaN,S2A,1.981247767,0.013983334,0.458969204
8/10/21,54,NaN,NaN,NaN,S2A,1.997579839,0.013475779,0.456262202
8/10/21,55,NaN,NaN,NaN,S2A,2.076525529,0.012856445,0.439574725
8/10/21,56,NaN,0.005586001,NaN,S2A,3.685308164,0.007106223,0.252789823
8/10/21,57,2.794465778,0.01242889,0.328270872,S2A,2.038528854,0.013855556,0.446715976
8/10/21,58,NaN,NaN,NaN,S2A,1.328816545,0.012937334,0.693650713
8/10/21,59,NaN,NaN,NaN,S2A,2.214090014,0.011394223,0.414877259
8/10/21,60,NaN,NaN,NaN,S2A,2.925061052,0.011873779,0.313301405
8/10/21,61,NaN,NaN,NaN,S2A,1.910286578,0.014703556,0.475341471
8/10/21,62,2.324461243,0.01264689,0.398950095,S2A,1.624338583,0.014834445,0.558233976
8/10/21,63,3.083650531,0.012130445,0.297239735,S2A,1.96985953,0.014141112,0.461218279
8/10/21,64,2.570928718,0.012539112,0.356057545,S2A,1.917509263,0.014123334,0.474072653
8/10/21,65,2.643751214,0.012335779,0.347642208,S2A,1.837510212,0.014137334,0.495848944
8/10/21,66,3.678062037,0.007285112,0.316944392,S2A,3.162663781,0.008256223,0.293258046
8/10/21,67,NaN,NaN,NaN,S2A,1.268069709,0.014373334,0.716036827
8/10/21,68,3.692600516,0.011003112,0.248990341,S2A,2.018197148,0.013501334,0.451736193
8/10/21,69,NaN,NaN,NaN,S2A,1.684724436,0.012950668,0.541845625
8/10/21,70,3.069254062,0.012189112,0.299249803,S2A,1.914864317,0.013875779,0.47550003
8/10/21,71,3.796121869,0.012153779,0.242027526,S2A,2.352516347,0.013144445,0.387841294
8/10/21,72,3.240807204,0.013100445,0.28294049,S2A,1.988862701,0.014975334,0.455487204
8/10/21,73,5.010003161,0.011876001,0.183380071,S2A,2.716576414,0.013420001,0.33541352
8/10/21,74,3.673221106,0.011804001,0.250876438,S2A,2.636121086,0.012318001,0.349016244
8/10/21,75,3.335621106,0.011365112,0.275545129,S2A,2.346819776,0.013003556,0.389616842
8/10/21,76,3.600168315,0.00870089,0.259138824,S2A,2.549652288,0.010074223,0.361592842
8/10/21,77,2.592644343,0.010747556,0.360950362,S2A,2.038430671,0.013359334,0.457265226
8/10/21,78,NaN,NaN,NaN,S2A,1.437260331,0.01334289,0.634307513
8/10/21,79,1.831776574,0.010930223,0.500753579,S2A,1.518579452,0.013424668,0.599890801
8/10/21,80,NaN,NaN,NaN,S2A,1.795237774,0.012846223,0.50831195
8/10/21,81,2.277677088,0.011711779,0.40227669,S2A,1.757354747,0.013479112,0.518078911
8/10/21,82,2.697512047,0.011553334,0.340639988,S2A,1.813509029,0.013088001,0.502943445
8/10/21,83,2.879769253,0.011363334,0.31868422,S2A,1.916314886,0.01352889,0.475208527
8/10/21,84,2.443102316,0.011761779,0.376099072,S2A,1.77977425,0.014039556,0.510927594
8/10/21,85,3.748896159,0.00998889,0.24808211,S2A,2.335561667,0.011703556,0.392485189
