decimaldate,date,yearday,site,satsecchi
2016.09,2/2/16,33,13,1.22286254
2016.09,2/2/16,33,14,NaN
2016.09,2/2/16,33,15,NaN
2016.09,2/2/16,33,16,1.26314878
2016.09,2/2/16,33,17,1.15869913
2016.134155,2/18/16,49,2,0.742471388
2016.134155,2/18/16,49,5,0.809655979
2016.134155,2/18/16,49,6,1.318710293
2016.134155,2/18/16,49,12,1.116153016
2016.134155,2/18/16,49,13,1.098215491
2016.134155,2/18/16,49,16,0.901287874
2016.134155,2/18/16,49,17,1.074736525
2016.265572,4/6/16,97,2,1.271775102
2016.265572,4/6/16,97,5,1.170994884
2016.265572,4/6/16,97,6,1.249080168
2016.265572,4/6/16,97,12,1.383157502
2016.265572,4/6/16,97,13,0.570782273
2016.265572,4/6/16,97,16,1.198796816
2016.265572,4/6/16,97,17,1.156718007
2016.396988,5/24/16,145,1,NaN
2016.396988,5/24/16,145,2,1.309430769
2016.396988,5/24/16,145,3,NaN
2016.396988,5/24/16,145,4,NaN
2016.396988,5/24/16,145,5,NaN
2016.396988,5/24/16,145,6,NaN
2016.396988,5/24/16,145,7,NaN
2016.396988,5/24/16,145,8,NaN
2016.396988,5/24/16,145,9,NaN
2016.396988,5/24/16,145,10,NaN
2016.396988,5/24/16,145,11,NaN
2016.396988,5/24/16,145,12,NaN
2016.396988,5/24/16,145,13,NaN
2016.396988,5/24/16,145,14,NaN
2016.396988,5/24/16,145,15,NaN
2016.396988,5/24/16,145,16,NaN
2016.396988,5/24/16,145,17,NaN
2016.440794,6/9/16,161,1,NaN
2016.440794,6/9/16,161,2,0.959216476
2016.440794,6/9/16,161,3,NaN
2016.440794,6/9/16,161,4,NaN
2016.440794,6/9/16,161,5,NaN
2016.440794,6/9/16,161,6,NaN
2016.440794,6/9/16,161,7,NaN
2016.440794,6/9/16,161,8,NaN
2016.440794,6/9/16,161,9,NaN
2016.440794,6/9/16,161,10,NaN
2016.440794,6/9/16,161,11,NaN
2016.440794,6/9/16,161,12,NaN
2016.440794,6/9/16,161,13,NaN
2016.440794,6/9/16,161,14,NaN
2016.440794,6/9/16,161,15,NaN
2016.440794,6/9/16,161,16,NaN
2016.440794,6/9/16,161,17,NaN
2016.572211,7/27/16,209,2,NaN
2016.572211,7/27/16,209,5,2.10595481
2016.572211,7/27/16,209,6,1.476252201
2016.572211,7/27/16,209,12,NaN
2016.572211,7/27/16,209,13,0.996819691
2016.572211,7/27/16,209,16,1.173298427
2016.572211,7/27/16,209,17,2.665195056
2016.616016,8/12/16,225,2,1.158462965
2016.616016,8/12/16,225,5,2.526634028
2016.616016,8/12/16,225,6,2.599955323
2016.616016,8/12/16,225,12,2.305562765
2016.616016,8/12/16,225,13,1.544619661
2016.616016,8/12/16,225,16,1.330068848
2016.616016,8/12/16,225,17,3.696234951
2016.659822,8/28/16,241,2,NaN
2016.659822,8/28/16,241,5,1.792673754
2016.659822,8/28/16,241,6,1.744908543
2016.659822,8/28/16,241,12,2.173169029
2016.659822,8/28/16,241,13,1.076336803
2016.659822,8/28/16,241,16,0.97087207
2016.659822,8/28/16,241,17,1.523371029
2016.703628,9/13/16,257,2,0.982350095
2016.703628,9/13/16,257,5,1.932423463
2016.703628,9/13/16,257,6,2.580514178
2016.703628,9/13/16,257,12,1.654306207
2016.703628,9/13/16,257,13,1.858586808
2016.703628,9/13/16,257,16,2.164492174
2016.703628,9/13/16,257,17,1.998465171
2016.791239,10/15/16,289,2,0.875184523
2016.791239,10/15/16,289,5,1.362555668
2016.791239,10/15/16,289,6,1.012727309
2016.791239,10/15/16,289,12,1.21502814
2016.791239,10/15/16,289,13,0.557294256
2016.791239,10/15/16,289,16,1.377712902
2016.791239,10/15/16,289,17,0.972235715
2016.87885,11/16/16,321,2,1.827122173
2016.87885,11/16/16,321,5,1.921246837
2016.87885,11/16/16,321,6,1.369852172
2016.87885,11/16/16,321,12,1.397517097
2016.87885,11/16/16,321,13,1.752162432
2016.87885,11/16/16,321,16,1.775584695
2016.87885,11/16/16,321,17,1.92189894
